DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,SAT Overall Avg
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,356,359.7
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,394,414,376,394.7
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,429,449,435,437.7
21K728,LIBERATION DIPLOMA PLUS,10,411,369,373,384.3
22K405,MIDWOOD HIGH SCHOOL,824,478,519,476,491.0
22K425,JAMES MADISON HIGH SCHOOL,518,436,475,439,450.0
22K495,SHEEPSHEAD BAY HIGH SCHOOL,236,383,392,370,381.7
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,542,542.3
22K555,BROOKLYN COLLEGE ACADEMY,131,456,456,440,450.7
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60,389,409,387,395.0
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,359,363.7
23K643,BROOKLYN DEMOCRACY ACADEMY,11,349,338,331,339.3
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7,311,371,311,331.0
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332,342.7
23K697,TEACHERS PREPARATORY HIGH SCHOOL,69,392,416,388,398.7
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,421,426.7
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400,406.3
24Q293,CIVIC LEADERSHIP ACADEMY,69,404,429,407,413.3
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,317,323,311,317.0
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,550,554.3
24Q455,NEWTOWN HIGH SCHOOL,320,383,440,380,401.0
24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,,,,,#DIV/0!
24Q485,GROVER CLEVELAND HIGH SCHOOL,241,395,420,396,403.7
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,385,392.3
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,329,354.7
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138,391,403,380,391.3
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440,443.3
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,406,423.3
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,445,496,423,454.7
24Q744,VOYAGES PREPARATORY,,,,,#DIV/0!
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443,465.3
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45,314,417,318,349.7
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,392,423.7
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,481,480.3
25Q425,JOHN BOWNE HIGH SCHOOL,558,397,451,395,414.3
25Q460,FLUSHING HIGH SCHOOL,347,393,441,382,405.3
25Q467,FLUSHING YABC,9,378,373,344,365.0
25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,638,636.7
25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,382,388,389.3
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,458,441,443.3
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7,379,421,377,392.3
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888,480,545,489,504.7
26Q430,FRANCIS LEWIS HIGH SCHOOL,934,468,539,467,491.3
